"","tsne.x","tsne.y","membership","pert_iname","clinical_phase","moa","target","disease_area","indication"
"ARC-239",-25.6012964774481,13.5731451009606,21,"ARC-239","Preclinical","adrenergic receptor antagonist","ADRA2A|ADRA2B|ADRA2C","",""
"arctigenin",1.29547219124193,-0.729485660125409,19,"arctigenin","Preclinical","MEK inhibitor","CHUK|MAP2K1","",""
"arcyriaflavin-a",-0.747068432292237,6.04482378341296,11,"arcyriaflavin-a","Preclinical","CDK inhibitor","CCND1|CDK4","",""
"arecaidine",7.64004892750375,28.9681279965828,12,NA,NA,NA,NA,NA,NA
"ARF1",8.86980166756567,-26.5943064560331,17,NA,NA,NA,NA,NA,NA
"ARF6",14.1333980332246,-10.0819467849165,6,NA,NA,NA,NA,NA,NA
"ARFIP2",11.8489655241879,-25.5131710976522,17,NA,NA,NA,NA,NA,NA
"ARG-CSC-91",22.4954229987737,17.5953207702676,4,NA,NA,NA,NA,NA,NA
"ARG-CSC2-23",-19.444877851423,-0.656231488289709,15,NA,NA,NA,NA,NA,NA
"ARG-TC-41",-5.86599709175678,7.9117321984629,11,NA,NA,NA,NA,NA,NA
"ARG1",-1.46188720777293,-23.4170452766669,10,NA,NA,NA,NA,NA,NA
"ARG2",9.82298163470599,-12.5832260303101,26,NA,NA,NA,NA,NA,NA
"ARHGEF2",13.4320597851156,-3.64510099937122,13,NA,NA,NA,NA,NA,NA
"ARHGEF7",-14.7286454979585,-15.0401659827582,27,NA,NA,NA,NA,NA,NA
"aristolochic-acid",-2.24853041544944,-8.34844651649254,18,NA,NA,NA,NA,NA,NA
"ARL4C",19.3095676234061,-21.3721032492593,17,NA,NA,NA,NA,NA,NA
"ARNTL",-10.2757307832665,-22.7698324723966,10,NA,NA,NA,NA,NA,NA
"ARPC1A",-4.93479465328255,-18.9136001383094,10,NA,NA,NA,NA,NA,NA
"ARPC1B",-9.02305407013561,-22.2713677290611,10,NA,NA,NA,NA,NA,NA
"ARPC3",-3.22754208955461,-18.2944816151102,10,NA,NA,NA,NA,NA,NA
"ARPC4",-10.8687611796928,-24.0761056051703,20,NA,NA,NA,NA,NA,NA
"ARRB1",-14.9552485508181,-15.1201306095837,27,NA,NA,NA,NA,NA,NA
"artesunate",5.12090331853368,1.99377534335593,14,"artesunate","Launched","DNA synthesis inhibitor","","infectious disease","malaria"
"articaine",-11.788647856537,10.9379386590266,2,"articaine","Launched","local anesthetic","","neurology/psychiatry","local anesthetic"
"arvanil",11.8527128819861,13.9422471541785,7,NA,NA,NA,NA,NA,NA
"AS-601245",16.4378972506985,5.88170033143813,5,NA,NA,NA,NA,NA,NA
"AS-604850",3.37332760735601,13.7717392996873,24,"AS-604850","Preclinical","PI3K inhibitor","PIK3CA|PIK3CG","",""
"AS-605240",4.82631669118026,10.6399504476465,29,NA,NA,NA,NA,NA,NA
"AS-703026",5.24534121874113,10.6803634208248,29,"AS-703026","Phase 2","MEK inhibitor","MAP2K1|MAP2K2","",""
"ASAH1",13.5829893603966,-24.2223093014963,17,NA,NA,NA,NA,NA,NA
"ASAP2",-16.4367509026361,-21.9380917834698,20,NA,NA,NA,NA,NA,NA
"ASCC3",-18.091622106657,-20.3807714518708,27,NA,NA,NA,NA,NA,NA
"ASCL4",8.86822671233089,-28.166523169238,17,NA,NA,NA,NA,NA,NA
"ASF1A",15.0143344412807,-12.0560498148718,6,NA,NA,NA,NA,NA,NA
"ASF1B",-18.2132476228193,-12.3902926318404,27,NA,NA,NA,NA,NA,NA
"ASGR2",-10.0566375158468,-14.5113998478609,28,NA,NA,NA,NA,NA,NA
"ASH2L",-17.9647473074919,-22.7112104528715,20,NA,NA,NA,NA,NA,NA
"asiatic-acid",16.795912607706,3.75523260318909,5,"asiatic-acid","Preclinical","apoptosis stimulant","PYGM","",""
"asiaticoside",6.6474652596205,24.9831209479251,12,NA,NA,NA,NA,NA,NA
"ASMTL",17.9667119760396,-2.2088481892189,13,NA,NA,NA,NA,NA,NA
"ASN-05257430",22.2930499175296,20.8956820138799,4,NA,NA,NA,NA,NA,NA
"ASNA1",-1.9676180633275,-20.3136104830508,10,NA,NA,NA,NA,NA,NA
"ASNS",18.6179630074138,-6.80645768366342,6,NA,NA,NA,NA,NA,NA
"ASPH",5.82113479339408,-24.2938246306312,16,NA,NA,NA,NA,NA,NA
"ASS1",-9.57274261987174,-26.1976521108144,20,NA,NA,NA,NA,NA,NA
"AT-7519",17.2031015509709,7.90772837102264,5,"AT-7519","Phase 2","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CDK6|CDK9","",""
"AT-9283",-0.407057842542756,-15.5563964100869,10,"AT-9283","Phase 2","Aurora kinase inhibitor|JAK inhibitor","AURKA|AURKB|JAK2|JAK3|RPS6KA6|STK17A","",""
"AT-SUMO-1",11.1294693664541,0.504468905338509,13,NA,NA,NA,NA,NA,NA
"AT1-SHH-09",19.4185392990212,19.0919831781986,4,NA,NA,NA,NA,NA,NA
"AT1-SHH-29",23.4921373230563,19.113303163884,4,NA,NA,NA,NA,NA,NA
"AT7867",-7.28999223523469,-6.49002550658612,27,"AT7867","Preclinical","AKT inhibitor","AKT2|GSK3B|PKIA|PRKACA","",""
"ATF2",-7.24965172125895,-23.085343561039,10,NA,NA,NA,NA,NA,NA
"ATF4",-20.8531093027614,-7.02934139994086,22,NA,NA,NA,NA,NA,NA
"ATG16L1",-24.2545945173986,17.220240035894,3,NA,NA,NA,NA,NA,NA
"ATG3",-14.8478582618888,-20.4626438848863,20,NA,NA,NA,NA,NA,NA
"ATG4A",5.90268892789199,-20.9464940726488,16,NA,NA,NA,NA,NA,NA
"ATG5",9.6589469725916,-21.0664578602694,17,NA,NA,NA,NA,NA,NA
"ATG7",17.3567619343749,-13.9685833632453,9,NA,NA,NA,NA,NA,NA
"ATIC",-17.340254352469,-22.2168238378528,20,NA,NA,NA,NA,NA,NA
"ATMIN",-18.9046104821804,-18.4689960153778,27,NA,NA,NA,NA,NA,NA
"atomoxetine",4.68141008760728,13.6713811628583,24,"atomoxetine","Launched","norepinephrine transporter inhibitor","GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A3|SLC6A4","neurology/psychiatry","attention-deficit/hyperactivity disorder (ADHD)"
"atorvastatin",5.81528078976146,11.3027860762884,29,"atorvastatin","Launched","HMGCR inhibitor","AHR|DPP4|HMGCR","neurology/psychiatry|cardiology","stroke|heart attack"
"atovaquone",-17.2685146949941,15.889569274781,2,"atovaquone","Launched","mitochondrial electron transport inhibitor","DHODH","infectious disease","pneumonia"
"ATOX1",9.67408638563118,-28.3338919578803,17,NA,NA,NA,NA,NA,NA
"ATP1A3",15.4652305079632,-25.6711210746739,17,NA,NA,NA,NA,NA,NA
"ATP1B1",-2.81041673126658,-24.4153714527744,8,NA,NA,NA,NA,NA,NA
"ATP5A1",-4.70422227193065,-19.8575620220864,10,NA,NA,NA,NA,NA,NA
"ATP5B",15.993019235013,-15.6028103008487,9,NA,NA,NA,NA,NA,NA
"ATP5C1",-11.6251829932289,-26.8111137787349,20,NA,NA,NA,NA,NA,NA
"ATP5D",15.2161948397232,-13.2742935736071,9,NA,NA,NA,NA,NA,NA
"ATP5F1",-11.4058270512327,-19.8744509124778,28,NA,NA,NA,NA,NA,NA
"ATP5H",-22.6832128390781,-10.2774595505561,22,NA,NA,NA,NA,NA,NA
"ATP5L",-4.25061725385612,-20.2445949032956,10,NA,NA,NA,NA,NA,NA
"ATP5S",-21.5899635040264,-18.6036048902562,27,NA,NA,NA,NA,NA,NA
"ATP6V0A1",-17.2991108458546,-8.56813922888267,27,NA,NA,NA,NA,NA,NA
"ATP6V0B",-11.8561468149137,-18.9078771547513,28,NA,NA,NA,NA,NA,NA
"ATP6V0C",10.0753715909552,-24.0949096784266,17,NA,NA,NA,NA,NA,NA
"ATP6V1D",10.8200250530151,-24.0296824095754,17,NA,NA,NA,NA,NA,NA
"ATP6V1F",15.0309634136821,-21.2727186521462,17,NA,NA,NA,NA,NA,NA
"ATPA",16.0278927134814,-0.702781344581401,13,"ATPA","Preclinical","glutamate receptor agonist","GRIA2|GRIK1","",""
"auranofin",8.07324819582733,-9.44331152252079,26,"auranofin","Launched","NFkB pathway inhibitor","IKBKB|PRDX5|TRPA1","rheumatology","rheumatoid arthritis"
"auraptene",8.82918930905061,33.383063288986,12,NA,NA,NA,NA,NA,NA
"AURKAIP1",15.606294122786,-8.96727540504287,6,NA,NA,NA,NA,NA,NA
"AURKB",13.9710470036241,-20.1169064771828,17,NA,NA,NA,NA,NA,NA
"austricine",14.7163880715774,26.4036521048525,4,NA,NA,NA,NA,NA,NA
"AVA",-12.696787523356,10.482765133628,2,NA,NA,NA,NA,NA,NA
"avicin-d",8.86339404400017,-9.45324864768261,26,NA,NA,NA,NA,NA,NA
"avicin-g",8.63264223658733,-10.0917091922668,26,NA,NA,NA,NA,NA,NA
"avrainvillamide-analog-1",22.5378475689202,15.3305521490152,7,NA,NA,NA,NA,NA,NA
"avrainvillamide-analog-2",8.29488926243953,-9.66583536657851,26,NA,NA,NA,NA,NA,NA
"avrainvillamide-analog-3",-17.9089841519303,2.14247545628261,15,NA,NA,NA,NA,NA,NA
"avrainvillamide-analog-4",-2.82987653132382,-4.78648620117979,11,NA,NA,NA,NA,NA,NA
"avrainvillamide-analog-5",-16.9987106368549,4.48515315247201,15,NA,NA,NA,NA,NA,NA
"avrainvillamide-analog-6",8.31773237953207,-9.76382050238606,26,NA,NA,NA,NA,NA,NA
"AXIN2",6.42618123969922,-25.7236622339547,16,NA,NA,NA,NA,NA,NA
"axitinib",-4.27082701262825,9.98262730445318,11,"axitinib","Launched","PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor","CSF1|FLT1|FLT4|KDR|PLK4","oncology","renal cell carcinoma (RCC)"
"AXL",14.7356710491158,-10.9791550082983,6,NA,NA,NA,NA,NA,NA
"AY-9944",-2.93197140467149,7.02674043554347,11,"AY-9944","Preclinical","hedgehog pathway modulator","","",""
"AZ-10417808",18.2847934061468,21.1566375800502,4,"AZ-10417808","Preclinical","caspase inhibitor","CASP3","",""
"AZ-628",3.26033625666783,10.9980561370124,29,"AZ-628","Preclinical","RAF inhibitor","BRAF|RAF1","",""
"azacitidine",1.25452319423013,-6.98760860037074,19,"azacitidine","Launched","DNA methyltransferase inhibitor","DNMT1|DNMT3A","hematologic malignancy|hematology","myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)"
"azacyclonol",18.4399441213978,16.1506927259173,7,"azacyclonol","Preclinical","histamine receptor antagonist","HRH1","",""
"azaperone",22.192357044181,22.8173686800638,4,"azaperone","Launched","dopamine receptor antagonist","DRD2|DRD3","neurology/psychiatry","sedative"
"azasetron",18.3338005072618,24.9800507020842,4,"azasetron","Launched","serotonin receptor antagonist","HTR3A|HTR3B","infectious disease","genitial herpes"
"azathioprine",-3.86457573677146,5.69467379380242,11,"azathioprine","Launched","dehydrogenase inhibitor","HPRT1|IMPDH1|PPAT","transplant|rheumatology","renal homotransplantation|rheumatoid arthritis"
"AZD-1152HQPA",-17.5555409178831,0.886447911011622,15,NA,NA,NA,NA,NA,NA
"AZD-1480",3.66155736146161,23.2856681373354,24,NA,NA,NA,NA,NA,NA
"AZD-5438",16.550115660267,7.57086275149304,5,NA,NA,NA,NA,NA,NA
"AZD-6482",4.24848811740071,9.45128450430515,29,NA,NA,NA,NA,NA,NA
"AZD-7545",7.47173909499618,1.12337831604682,14,NA,NA,NA,NA,NA,NA
"AZD-7762",16.5246064779802,4.91354529353162,5,NA,NA,NA,NA,NA,NA
"AZD-8055",4.21719644320016,8.50172611617067,29,NA,NA,NA,NA,NA,NA
"AZD-8330",0.275812249605553,8.80312212565948,11,NA,NA,NA,NA,NA,NA
"AZGP1",-11.0791019227525,-19.5392824959245,28,NA,NA,NA,NA,NA,NA
"B2M",-19.0868073948448,-12.5800531118043,27,NA,NA,NA,NA,NA,NA
"B3GAT3",-6.56812576393763,-17.9565151001225,10,NA,NA,NA,NA,NA,NA
"B3GNT1",15.1571516383433,-16.62768574214,9,NA,NA,NA,NA,NA,NA
"B4GALT3",-8.89877567651754,-18.8880864882525,10,NA,NA,NA,NA,NA,NA
"B4GALT4",7.74946093765649,-23.6080488868045,16,NA,NA,NA,NA,NA,NA
"baccatin-III",11.7734001458442,-8.47307973497567,13,NA,NA,NA,NA,NA,NA
"BACE2",0.800932896175422,-30.1253032653167,16,NA,NA,NA,NA,NA,NA
"BACH1",-19.3407410574487,-16.2799452658581,27,NA,NA,NA,NA,NA,NA
"BAD",-17.1467873892563,-20.4101321821553,27,NA,NA,NA,NA,NA,NA
"bafilomycin",6.80527541545893,3.5515938826179,14,NA,NA,NA,NA,NA,NA
"BAG1",-20.6776241972272,-21.3836185516671,27,NA,NA,NA,NA,NA,NA
"BAG6",-4.75883591228919,-18.9429001655703,10,NA,NA,NA,NA,NA,NA
"BAMBI",-9.98371391909731,-20.6828130612766,10,NA,NA,NA,NA,NA,NA
"BAPTA-AM",8.30261070986548,2.58296424167784,14,NA,NA,NA,NA,NA,NA
"barasertib",5.84138201460067,-11.6331478990802,26,"barasertib","Phase 2/Phase 3","Aurora kinase inhibitor","AURKA|AURKB","",""
"BAS-00535043",0.346716451551686,5.48845505290292,11,NA,NA,NA,NA,NA,NA
"BAS-00594560",-17.9749817204651,1.32475640094242,15,NA,NA,NA,NA,NA,NA
"BAS-02859604",1.94488328794588,27.7855063049435,1,NA,NA,NA,NA,NA,NA
"BAS-09104376",-13.3528134767743,20.6005385241842,23,NA,NA,NA,NA,NA,NA
"BATF3",-10.7273381088368,-11.6935020104348,28,NA,NA,NA,NA,NA,NA
"batimastat",13.7101602348022,19.0819191629721,7,"batimastat","Phase 3","matrix metalloprotease inhibitor","ADAM28|ADAMTS5|MMP12|MMP16|MMP2|MMP8","",""
"BAX",15.0672463559809,-20.6332397921023,17,NA,NA,NA,NA,NA,NA
"BAX-channel-blocker",5.37655376690045,2.39925321620148,14,"BAX-channel-blocker","Preclinical","cytochrome C release inhibitor","BAX","",""
"BAY-11-7821",7.02157992518669,-2.68906459332791,19,NA,NA,NA,NA,NA,NA
"BAY-36-7620",-13.4929822156164,7.66239120981662,2,NA,NA,NA,NA,NA,NA
"BAY-59-3074",15.6403020014751,2.20229270346878,13,NA,NA,NA,NA,NA,NA
"BAY-K8644",7.60660187527965,29.3245793292782,12,NA,NA,NA,NA,NA,NA
"BCAT2",17.54001951362,-10.00493398973,6,NA,NA,NA,NA,NA,NA
"BCCIP",16.0713561830159,-14.8825366502879,9,NA,NA,NA,NA,NA,NA
"BCI-hydrochloride",2.95482386728759,-4.38660359462468,19,NA,NA,NA,NA,NA,NA
"BCKDK",9.59647266593534,-24.6927597484013,17,NA,NA,NA,NA,NA,NA
"BCL10",11.8528585311366,-19.5910944060638,17,NA,NA,NA,NA,NA,NA
"BCL2",-1.86971534444029,-25.1566677853368,8,NA,NA,NA,NA,NA,NA
"BCL2-inhibitor",9.46372431200781,-2.89011734375761,13,NA,NA,NA,NA,NA,NA
"BCL2L1",-0.435938080337824,-17.0709134874827,10,NA,NA,NA,NA,NA,NA
"BCL2L11",-17.9084248686778,-15.8833780094805,27,NA,NA,NA,NA,NA,NA
"BCL2L2",-17.8615820277621,-17.7228159963848,27,NA,NA,NA,NA,NA,NA
"BCL6",-12.2530244336712,-15.8185777352529,28,NA,NA,NA,NA,NA,NA
"BCL6B",-8.15782658196951,-23.3476736804873,10,NA,NA,NA,NA,NA,NA
"BD-1008",7.37472038659736,22.6453817594892,24,"BD-1008","Preclinical","sigma receptor antagonist","","",""
"BD-1047",6.79804660005086,22.6643931979136,24,"BD-1047","Preclinical","adrenergic receptor antagonist","SIGMAR1","",""
"BD-1063",17.0061011922215,21.8543290098751,4,"BD-1063","Preclinical","sigma receptor antagonist","SIGMAR1","",""
"beclometasone",-11.0926279772283,-5.36519413185397,27,NA,NA,NA,NA,NA,NA
"BECN1",-1.3227168496567,-23.4417222890764,10,NA,NA,NA,NA,NA,NA
"belinostat",10.8095461318716,7.65189313054401,25,"belinostat","Launched","HDAC inhibitor","HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","hematologic malignancy","peripheral T-cell lymphoma (PTCL)"
"bemegride",20.5546527539026,5.78874870660064,5,"bemegride","Launched","chemoreceptor agonist","GABRA1","critical care","poison antidote"
"bemesetron",9.65693265683939,26.7985615739184,4,"bemesetron","Phase 3","serotonin receptor antagonist","HTR3A|HTR3B","",""
"benazepril",20.0027568725793,5.44418551497029,5,"benazepril","Launched","angiotensin converting enzyme inhibitor","ACE","cardiology","hypertension"
"bendroflumethiazide",2.85572941080955,31.2959769109092,1,"bendroflumethiazide","Launched","sodium/potassium/chloride transporter inhibitor","CA1|CA2|CA4|KCNMA1|SLC12A1|SLC12A3","cardiology","hypertension"
"benperidol",16.8404858002823,20.236581549869,4,"benperidol","Launched","dopamine receptor antagonist","DRD2","neurology/psychiatry","schizophrenia"
"benzamil",7.33983623272128,17.8010371674277,24,"benzamil","Phase 2","sodium channel blocker","ASIC1|PKD2L1|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC8A1","",""
"benzbromarone",-15.2594612289502,1.80981576218849,15,"benzbromarone","Launched","chloride channel blocker","ABCC1","rheumatology","gout"
"benzohydroxamic-acid",-21.9759868491971,11.9532358519639,3,NA,NA,NA,NA,NA,NA
"benzonatate",15.0893093542519,22.6558154096473,4,"benzonatate","Launched","local anesthetic","SCN5A","pulmonary","cough suppressant"
"benzopurpurin-4b",14.7380762340687,22.0242397276735,4,NA,NA,NA,NA,NA,NA
"benzoxiquine",9.49559230575903,2.53903620717914,14,"benzoxiquine","Preclinical","antiinfective drug","","",""
"benzthiazide",-26.9764625705082,10.0086238094311,21,"benzthiazide","Launched","carbonic anhydrase inhibitor","CA1|CA12|CA2|CA4|CA9|SLC12A3","cardiology","hypertension|edema"
"benzydamine",18.4045867420962,25.134535980359,4,"benzydamine","Launched","prostanoid receptor antagonist","","dental|otolaryngology","mouth inflammation|throat inflammation"
"benzyl-quinazolin-4-yl-amine",6.86982134117143,16.9083931256159,24,NA,NA,NA,NA,NA,NA
"benzylpenicillin",9.43712733318726,26.2525151812618,4,"benzylpenicillin","Launched","penicillin binding protein inhibitor","","infectious disease","celluitis|meningitis|endocarditis|syphilis|pneumonia|bacterial septicemia"
"bepridil",14.0112678136963,16.1394382542001,7,"bepridil","Launched","calcium channel blocker","ATP1A1|CACNA1A|CACNA1H|CACNA2D2|CALM1|KCNQ1|KCNQ4|PDE1A|PDE1B|TNNC1","cardiology","angina pectoris"
"berbamine",6.78156228783607,13.2257530571609,29,NA,NA,NA,NA,NA,NA
"bergenin",21.0930546350359,19.2272874221241,4,"bergenin","Preclinical","interleukin inhibitor","IL1B|TNF","",""
"beta-CCP",21.1805673736854,14.2522578758626,7,NA,NA,NA,NA,NA,NA
"betahistine",4.96558680418802,-12.4013999814759,26,"betahistine","Launched","histamine receptor agonist|histamine receptor antagonist","HRH1|HRH3","neurology/psychiatry","Meniere's disease"
"betamethasone",0.824437513512971,11.0629304568327,11,"betamethasone","Launched","glucocorticoid receptor agonist","NR3C1","dermatology","corticosteroid-responsive dermatoses"
"betaxolol",-26.0941908489702,10.3231897638058,21,"betaxolol","Launched","adrenergic receptor antagonist","ADRB1|ADRB2","ophthalmology","intraocular pressure|glaucoma|ocular hypertension"
"betulinic-acid",-12.8677635594586,4.63702042953938,15,"betulinic-acid","Phase 1/Phase 2","apoptosis stimulant|NFkB pathway inhibitor","GPBAR1","",""
"bezafibrate",-22.9265492449361,1.9579578190932,15,"bezafibrate","Launched","PPAR receptor agonist","PPARA|PPARD|PPARG","cardiology","cholesterol"
"BFGF",-23.5407666163092,16.7224530245816,3,NA,NA,NA,NA,NA,NA
"BG-FA-0953",1.33480974812688,-6.20796788982442,19,NA,NA,NA,NA,NA,NA
"BG-STK33-03",-4.97339474993221,28.3355123452592,1,NA,NA,NA,NA,NA,NA
"BG-STK33-55",-4.96435186968031,28.4716956807795,1,NA,NA,NA,NA,NA,NA
"BG-STK33-59",-5.04563905736651,28.4462763187559,1,NA,NA,NA,NA,NA,NA
"BH3I-1",17.3379187961318,15.3151052249422,7,NA,NA,NA,NA,NA,NA
"BHMT",12.7480535968909,-24.9670316770332,17,NA,NA,NA,NA,NA,NA
"BHMT2",-9.64033615455664,-14.7750543477861,28,NA,NA,NA,NA,NA,NA
"BI-2536",10.6907445376391,7.37037811297214,25,"BI-2536","Phase 2","PLK inhibitor","BRD4|PLK1|PLK2|PLK3","",""
"BI-78D3",12.6536036532381,0.157221592433647,13,"BI-78D3","Preclinical","JNK inhibitor","MAPK8","",""
"BIBR-1532",7.10113982156478,1.69428702183531,14,"BIBR-1532","Preclinical","telomerase inhibitor","TERT","",""
"BIBU-1361",-2.89597526677635,6.40686899095061,11,"BIBU-1361","Preclinical","EGFR inhibitor","EGFR","",""
"BIBX-1382",5.34922969119869,11.7928104887047,29,"BIBX-1382","Phase 1","EGFR inhibitor","EGFR|ERBB2","",""
"bicalutamide",-0.399734571327657,5.10619294781359,11,"bicalutamide","Launched","androgen receptor antagonist","AR","oncology","prostate cancer"
"BID",17.6329879316454,-12.4165886275285,9,NA,NA,NA,NA,NA,NA
"bifemelane",4.7628665516976,12.818154214114,24,"bifemelane","Launched","acetylcholine release enhancer","MAOA|MAOB","ophthalmology|neurology/psychiatry","glaucoma|senile dementia"
"BIIB021",6.67812234809731,-3.08295291653892,19,"BIIB021","Phase 2","HSP inhibitor","HSP90AA1","",""
"BIK",-3.97033950614468,-18.4652121780989,10,NA,NA,NA,NA,NA,NA
"biochanin-a",-15.8771946326316,10.2030733414566,2,NA,NA,NA,NA,NA,NA
"biotin",6.97745271708549,25.0682291444473,12,"biotin","Launched","vitamin B","ACACA|ACACB|HLCS|MCCC1|MCCC2|PC|PCCA|PCCB|SLC5A6","",""
"biperiden",16.9885639639793,18.3763544286166,7,"biperiden","Launched","acetylcholine receptor antagonist","CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2","neurology/psychiatry","Parkinson's Disease"
"BIRC2",6.44382103134632,-21.8861517768596,16,NA,NA,NA,NA,NA,NA
"BIRC5",9.76081249281419,-21.1580998421498,17,NA,NA,NA,NA,NA,NA
"bis-tyrphostin",-3.89850553723207,10.0976352433173,11,NA,NA,NA,NA,NA,NA
"bisacodyl",6.74709133539621,-5.97429299830956,19,"bisacodyl","Launched","laxative","","gastroenterology","constipation"
"bisbenzimide",13.943394093494,12.5006011145709,7,NA,NA,NA,NA,NA,NA
"bisindolylmaleimide",-0.720250109718006,-11.2133080239927,18,NA,NA,NA,NA,NA,NA
"bisindolylmaleimide-ix",17.4499505052072,8.2292669743343,5,"bisindolylmaleimide-ix","Preclinical","PKC inhibitor","AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1","",""
"bisoprolol",-0.772166222376637,21.3889724852865,1,"bisoprolol","Launched","adrenergic receptor antagonist","ADRB1|ADRB2","cardiology","hypertension"
"bisphenol-a",-11.2075334675979,-1.08454400002722,15,"bisphenol-a","Phase 1","synthetic estrogen","AR|ESR1|ESR2|ESRRG|PPARG","",""
"bithionol",4.78057940583595,-0.165126863061374,14,"bithionol","Withdrawn","autotaxin inhibitor","ESR1|ESR2|MCL1","",""
"BIX-01294",3.33630823637458,-2.6756456338884,19,"BIX-01294","Preclinical","histone lysine methyltransferase inhibitor","EHMT1|EHMT2","",""
"BIX-01338",-18.692790008368,8.66149142887251,15,NA,NA,NA,NA,NA,NA
"BIX-02189",0.63003442887586,8.95282577232203,11,"BIX-02189","Preclinical","MEK inhibitor","MAP2K5|MAPK7","",""
"BL-050",-2.67986113099461,-7.96334475200343,18,NA,NA,NA,NA,NA,NA
"BL-074",-22.3149720305797,7.11685345981997,15,NA,NA,NA,NA,NA,NA
"BL-077",12.7323397723398,18.087006030553,7,NA,NA,NA,NA,NA,NA
"BL003-049-HDAC3",-20.5002697113483,12.7392425704973,3,NA,NA,NA,NA,NA,NA
"BLCAP",17.5580599827493,-22.5115536251468,17,NA,NA,NA,NA,NA,NA
"blebbistatin",3.20140442158229,13.5572869806667,24,NA,NA,NA,NA,NA,NA
"BLMH",-14.1005014347878,-15.9430970933732,27,NA,NA,NA,NA,NA,NA
"BLVRA",16.5100076926491,-16.7007974070819,9,NA,NA,NA,NA,NA,NA
"BLZF1",14.6108635004743,-11.217518599394,6,NA,NA,NA,NA,NA,NA
"BMI1",-18.0237904415842,-16.6161593672997,27,NA,NA,NA,NA,NA,NA
"BML-190",-9.09523577812386,8.36375557244274,11,"BML-190","Preclinical","cannabinoid receptor inverse agonist","CNR2","",""
"BML-257",11.7290559467081,20.6646582107147,4,NA,NA,NA,NA,NA,NA
"BML-259",16.5097879234011,6.98887049521029,5,NA,NA,NA,NA,NA,NA
"BML-ST330",14.2908507531286,-3.17715940133057,13,NA,NA,NA,NA,NA,NA
"BMP2",-22.8268844635633,-8.93039328202318,22,NA,NA,NA,NA,NA,NA
"BMP4",-12.3565163553774,-16.0700163264634,28,NA,NA,NA,NA,NA,NA
"BMPR1A",19.0714213723398,-16.6346277700515,9,NA,NA,NA,NA,NA,NA
"BMS-182874",-10.8789438787627,10.2377052938104,2,"BMS-182874","Phase 2","endothelin receptor antagonist","EDNRA","",""
"BMS-191011",20.5278857294952,12.6825734517464,7,"BMS-191011","Preclinical","potassium channel activator","KCNMA1","",""
"BMS-299897",-11.0007968807936,18.9179921011585,2,"BMS-299897","Phase 1","gamma secretase inhibitor","","",""
"BMS-345541",17.0091973326729,6.91558479193899,5,"BMS-345541","Preclinical","IKK inhibitor","CHUK|IKBKB","",""
"BMS-387032",16.6396840994791,7.60802495654274,5,"BMS-387032","Phase 1","CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor","CDK2|CDK7|CDK9","",""
"BMS-509744",-15.0989636067044,2.89977032342176,15,NA,NA,NA,NA,NA,NA
"BMS-536924",4.70830729738384,9.49716976868535,29,"BMS-536924","Preclinical","IGF-1 inhibitor","AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB","",""
"BMS-641988",-22.9400912414883,-7.08710215971641,22,NA,NA,NA,NA,NA,NA
